cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,pct_muertes_covid,_den_pct_muertes_covid,_den_edad_prom_fallecimiento,fallecidos_2023,emigrantes_x1000,tasa_mortalidad
050701,323,23.378205128205128,13.003095975232197,323,15.170278637770897,323,62.84829721362229,323,3.0959752321981426,323,0.9287925696594427,323,323,609,56.2773851590106,8.374384236453203,609,609,165,18.77361232199942,9.59023539668701
050702,211,23.87378640776699,7.109004739336493,211,15.165876777251185,211,68.24644549763033,211,2.3696682464454977,211,0.9478672985781991,211,211,315,58.8936877076412,10.158730158730158,315,315,83,24.946795932844644,9.813194608654529
050801,1271,27.822866344605476,73.64280094413847,1271,3.3831628638867035,1271,17.151848937844218,1271,1.2588512981904012,1271,0.47206923682140045,1271,1271,1804,63.76587301587302,11.363636363636363,1804,1804,405,27.878920815968414,8.883527089273963
050802,62,25.540983606557376,43.54838709677419,62,8.064516129032258,62,35.483870967741936,62,8.064516129032258,62,1.6129032258064515,62,62,341,54.43558282208589,12.316715542521994,341,341,76,6.451612903225806,7.908428720083247
050901,226,25.12442396313364,7.522123893805309,226,1.7699115044247788,226,86.28318584070796,226,0.4424778761061947,226,0.4424778761061947,226,226,375,61.46994535519126,10.666666666666666,375,375,71,17.739403453689167,5.572998430141287
050902,51,24.88235294117647,13.72549019607843,51,0.0,51,82.3529411764706,51,1.9607843137254901,51,0.0,51,51,43,64.28571428571429,18.6046511627907,43,43,9,31.46206045650833,5.552128315854411
051001,47,26.84090909090909,21.27659574468085,47,6.382978723404255,47,65.95744680851064,47,0.0,47,6.382978723404255,47,47,110,56.93396226415094,9.090909090909092,110,110,21,14.920634920634921,6.666666666666667
051002,2,18.5,50.0,2,0.0,2,50.0,2,0.0,2,0.0,2,2,22,62.68181818181818,0.0,22,22,1,1.951219512195122,0.975609756097561
051003,29,23.5,75.86206896551724,29,0.0,29,17.24137931034483,29,0.0,29,6.896551724137931,29,29,61,60.45762711864407,4.918032786885246,61,61,13,14.979338842975206,6.714876033057851
051101,1769,26.181392627267407,89.03335217637083,1769,2.430751837196156,1769,5.822498586772188,1769,0.9609949123798757,1769,0.11305822498586772,1769,1769,839,65.33333333333333,9.535160905840286,839,839,195,107.9382512660931,11.898224418817499
